alpha,seed,algo,final_reward,final_stability
0.65,1,EGP,-247.42913174265146,0.41848641474015136
0.65,1,FPRL,-219.20468015609143,0.45348717916692655
0.65,2,PPO,-171.11781004407058,0.48427248323483907
0.65,2,EGP,-271.9325905740485,0.3824828181484458
0.65,2,FPRL,-206.0764172969128,0.44973696861500767
0.65,3,PPO,-157.02198388668162,0.5606837254574423
0.65,3,EGP,-261.0629186078487,0.4233838502297628
0.65,3,FPRL,-226.62595548210876,0.45438383965095863
0.65,4,PPO,-266.2757212122307,0.40686050838985083
0.65,4,EGP,-166.93113959735885,0.4808992654006843
0.65,4,FPRL,-193.03741660578476,0.45664686915410246
0.65,5,PPO,-157.1443769778402,0.5072732362954356
0.65,5,EGP,-221.9778081502748,0.4474799412366102
0.65,5,FPRL,-200.9682008819763,0.45781007057096945
0.65,6,PPO,-138.0470365875426,0.6031479877133795
0.65,6,EGP,-168.92799533057357,0.5041494148933973
0.65,6,FPRL,-201.14291971660637,0.4792020927940981
0.65,7,PPO,-423.2159367145202,0.12140175127944751
0.65,7,EGP,-180.97959400251344,0.4543718193644384
0.65,7,FPRL,-218.2913425530432,0.4305901041345248
0.65,8,PPO,-199.28092770958617,0.38457914324459364
0.65,8,EGP,-156.53984927247126,0.4954044937753025
0.65,8,FPRL,-219.62469854204565,0.43497012952452846
0.65,9,PPO,-117.96882077914049,0.5568426952698315
0.65,9,EGP,-127.17020575546191,0.5426774341738203
0.65,9,FPRL,-209.21626271569272,0.460684591504958
0.65,10,PPO,-147.06000299765233,0.5182698417069198
0.65,10,EGP,-144.77077063074793,0.5035285106387519
0.65,10,FPRL,-194.8866297778008,0.4629026981560573
0.7,1,PPO,-130.92841843456816,0.5676314549548882
0.7,1,EGP,-259.37749601334633,0.4043649396607697
0.7,1,FPRL,-220.15805104074275,0.4523208345024094
0.7,2,PPO,-171.11781004407058,0.48427248323483907
0.7,2,EGP,-281.80175386687654,0.37185068350697886
0.7,2,FPRL,-206.4241631665356,0.4489441775135618
0.7,3,PPO,-157.02198388668162,0.5606837254574423
0.7,3,EGP,-264.3286654461142,0.4191174899755613
0.7,3,FPRL,-226.72016410223875,0.4542818836656495
0.7,4,PPO,-266.2757212122307,0.40686050838985083
0.7,4,EGP,-165.6685654571766,0.481939909186284
0.7,4,FPRL,-193.77666112219762,0.4570335168020171
0.7,5,PPO,-157.1443769778402,0.5072732362954356
0.7,5,EGP,-226.20049253626152,0.4419702046532209
0.7,5,FPRL,-200.89687901619064,0.4576658156207977
0.7,6,PPO,-138.0470365875426,0.6031479877133795
0.7,6,EGP,-171.50752759750497,0.5014504717252378
0.7,6,FPRL,-201.2481267128092,0.4791169615730947
0.7,7,PPO,-423.2159367145202,0.12140175127944751
0.7,7,EGP,-178.53099252086284,0.45661203492216035
0.7,7,FPRL,-218.47918364545083,0.4306505671178372
0.7,8,PPO,-199.28092770958617,0.38457914324459364
0.7,8,EGP,-152.7729166410441,0.498765428931273
0.7,8,FPRL,-219.35539028420573,0.43504548099518514
0.7,9,PPO,-117.96882077914049,0.5568426952698315
0.7,9,EGP,-124.05541997331908,0.5459368713813727
0.7,9,FPRL,-209.27755353400312,0.4608021670355163
0.7,10,PPO,-147.06000299765233,0.5182698417069198
0.7,10,EGP,-144.46205859953733,0.5040368811311778
0.7,10,FPRL,-195.28144261103327,0.46287425840367774
0.75,1,PPO,-130.92841843456816,0.5676314549548882
0.75,1,EGP,-260.8857017755193,0.4023768632320019
0.75,1,FPRL,-221.03713767964615,0.45097097380102946
0.75,2,PPO,-171.11781004407058,0.48427248323483907
0.75,2,EGP,-291.2497818440641,0.3595803878129485
0.75,2,FPRL,-206.68572311768008,0.4482029442593192
0.75,3,PPO,-157.02198388668162,0.5606837254574423
0.75,3,EGP,-266.6780595002845,0.4155208010723909
0.75,3,FPRL,-226.82206087606158,0.45424304030589413
0.75,4,PPO,-266.2757212122307,0.40686050838985083
0.75,4,EGP,-163.55838497672042,0.484064216522131
0.75,4,FPRL,-193.62510382249724,0.45737168249495047
0.75,5,PPO,-157.1443769778402,0.5072732362954356
0.75,5,EGP,-231.0445147387703,0.43762131275755173
0.75,5,FPRL,-200.96643855711542,0.4575116639586844
0.75,6,PPO,-138.0470365875426,0.6031479877133795
0.75,6,EGP,-172.45527639116057,0.5003995084568934
0.75,6,FPRL,-201.3397696357912,0.47906640809240514
