seed,algo,alpha,avg_reward,reward_std,stab_error
43,ICRL,0.1,-346.4814985607184,52.919711461992094,0.4524265946302057
44,PPO,0.1,-307.1315721602256,57.93426197612925,0.4549101041635694
44,SAC,0.1,-417.8306639639684,69.92443884847147,0.4246246339461329
44,EGP,0.1,-308.3585371705699,57.07877327055602,0.4558724794181577
44,FPRL,0.1,-395.6399373452345,66.7720329130433,0.4243883079454648
44,ICRL,0.1,-308.3585371705699,57.07877327055602,0.4558724794181577
45,PPO,0.1,-372.7965355161242,38.64980017425908,0.4302115394378984
45,SAC,0.1,-409.6035528500802,62.38682641988155,0.4392168746492361
45,EGP,0.1,-372.59115979173737,38.640680694983914,0.43010999457459204
45,FPRL,0.1,-404.07946385699466,42.55201981800471,0.4108122297151414
45,ICRL,0.1,-372.59115979173737,38.640680694983914,0.43010999457459204
46,PPO,0.1,-273.19759682319824,50.872987774523814,0.4443566097436992
46,SAC,0.1,-420.3699734870821,51.76725991582108,0.4141916334168249
46,EGP,0.1,-272.4700186316034,50.77368426195782,0.4440479624155195
46,FPRL,0.1,-406.96024862350095,67.76867069893585,0.3987521283960193
46,ICRL,0.1,-272.4700186316034,50.77368426195782,0.4440479624155195
47,PPO,0.1,-272.99607652584956,53.965373187269044,0.45642527733299887
47,SAC,0.1,-421.87184868921133,74.9630136777041,0.416975620894119
47,EGP,0.1,-273.3680764034149,54.085313417854955,0.45628186322944964
47,FPRL,0.1,-414.61409427358745,64.5894417420432,0.40822277803794604
47,ICRL,0.1,-273.3680764034149,54.085313417854955,0.45628186322944964
48,PPO,0.1,-304.03648082738374,53.14140723002735,0.45989592445390226
48,SAC,0.1,-389.79085645219067,54.84662742130758,0.4461704592419576
48,EGP,0.1,-304.799494452402,53.42861740178608,0.4602015488084498
48,FPRL,0.1,-391.04709631633267,57.35106841329118,0.4274019666301389
48,ICRL,0.1,-304.799494452402,53.42861740178608,0.4602015488084498
49,PPO,0.1,-332.98336732651944,45.20407678275724,0.4461120641748488
49,SAC,0.1,-387.3916465912621,70.67378177484223,0.4352583052099056
49,EGP,0.1,-334.26492242083793,45.22158834408243,0.4467317035637741
49,FPRL,0.1,-406.9148867688893,58.18020198972188,0.4111562791123554
