seed,algo,sigma_obs,alpha,avg_reward,reward_std,stab_error
1,PPO,0.01,0.5,-199.8786807933093,66.92400326979462,0.5468883980962859
1,SAC,0.01,0.5,-261.0952832341497,96.19158680949953,0.534791020366153
1,EGP,0.01,0.5,-199.85610594696206,65.0760225066832,0.5513916993023507
1,FPRL,0.01,0.5,-601.4323073277676,169.23458831278091,0.6219179851460139
1,ICRL,0.01,0.5,-199.85610594696206,65.0760225066832,0.5513916993023507
2,PPO,0.01,0.5,-171.75916381919515,63.41696052771904,0.5598540581767296
2,SAC,0.01,0.5,-188.6669159877657,54.97147564190442,0.49780045704856035
2,EGP,0.01,0.5,-182.0397253188206,71.92598484664839,0.5678258339607067
2,FPRL,0.01,0.5,-486.1779095475002,182.26524581334283,0.5957605012969904
2,ICRL,0.01,0.5,-182.0397253188206,71.92598484664839,0.5678258339607067
3,PPO,0.01,0.5,-224.0382702498209,74.88442694729378,0.5304704414316083
3,SAC,0.01,0.5,-271.6410075225024,101.58493945618137,0.5950271801425204
3,EGP,0.01,0.5,-222.65027604665008,71.9932213499702,0.5288612773055111
3,FPRL,0.01,0.5,-739.4162218654606,207.08622100721115,0.5595686176559457
3,ICRL,0.01,0.5,-222.65027604665008,71.9932213499702,0.5288612773055111
4,PPO,0.01,0.5,-203.20557171999604,72.80707331182973,0.5476618745234063
4,SAC,0.01,0.5,-291.3569014185107,122.83124204697697,0.5819453467593418
4,EGP,0.01,0.5,-202.3636893678628,71.53306728751538,0.5469812165018452
4,FPRL,0.01,0.5,-674.8314185474609,237.389457631792,0.6154466786457885
4,ICRL,0.01,0.5,-202.3636893678628,71.53306728751538,0.5469812165018452
5,PPO,0.01,0.5,-195.7590129693653,64.98863357587413,0.534322934790304
5,SAC,0.01,0.5,-334.35130437724604,142.9774588201852,0.5136507307533775
5,EGP,0.01,0.5,-195.57933086713902,63.01572892240245,0.533857395301563
5,FPRL,0.01,0.5,-627.5148362491927,167.62598326449634,0.5813644809163205
5,ICRL,0.01,0.5,-195.57933086713902,63.01572892240245,0.533857395301563
6,PPO,0.01,0.5,-230.99213605358813,99.56330830916649,0.6229119765052511
6,SAC,0.01,0.5,-434.3089127041487,205.89713775571192,0.5601169473630055
6,EGP,0.01,0.5,-230.90905262360607,101.87559916792742,0.6215030506445516
6,FPRL,0.01,0.5,-598.732962858328,173.65613611840683,0.6965311087740045
6,ICRL,0.01,0.5,-230.90905262360607,101.87559916792742,0.6215030506445516
7,PPO,0.01,0.5,-191.56846467296913,62.42458492800677,0.5222624915767642
7,SAC,0.01,0.5,-272.45413328861054,118.77633460796957,0.5335430614929646
7,EGP,0.01,0.5,-179.64025759307845,53.58809866224364,0.5166419078120325
7,FPRL,0.01,0.5,-605.7453200230186,208.89691077511182,0.5060924833135739
7,ICRL,0.01,0.5,-179.64025759307845,53.58809866224364,0.5166419078120325
8,PPO,0.01,0.5,-160.59501576928014,45.92236165096533,0.44256308328600663
8,SAC,0.01,0.5,-260.15878574054,94.52824963498064,0.5897248342411808
8,EGP,0.01,0.5,-158.20641053332542,43.642335370088055,0.44071872663679185
8,FPRL,0.01,0.5,-700.541032765944,194.24509469694675,0.38323155009012505
8,ICRL,0.01,0.5,-158.20641053332542,43.642335370088055,0.44071872663679185
9,PPO,0.01,0.5,-140.7663507280052,44.93798741136344,0.49691663389044105
9,SAC,0.01,0.5,-353.8799800887569,109.55737437455284,0.6375990020948391
9,EGP,0.01,0.5,-138.87674396207694,42.466323733172565,0.4953715973517667
9,FPRL,0.01,0.5,-633.4657092123399,220.99268535795724,0.5675615839360992
9,ICRL,0.01,0.5,-138.87674396207694,42.466323733172565,0.4953715973517667
10,PPO,0.01,0.5,-176.90468034858236,79.94655573759206,0.5158209501823752
10,SAC,0.01,0.5,-347.5247566552077,144.11407235888854,0.5831374789344808
10,EGP,0.01,0.5,-177.11072685224772,80.99201958121584,0.5146296493807226
10,FPRL,0.01,0.5,-676.116468648326,198.0429198012187,0.5777753705628497
10,ICRL,0.01,0.5,-177.11072685224772,80.99201958121584,0.5146296493807226
11,PPO,0.01,0.5,-290.24699529549486,107.40845863646409,0.49470960384500157
