seed,algo,n_agents,beta,gamma,avg_reward,collapse_count,final_resource,reward_std
36,PPO,3,0.3,1.0,-40.00513947872489,1,0.9688854232802468,0.4513198212701561
36,EGP,3,0.3,1.0,-40.00513947872489,1,0.9688854232802468,0.4513198212701561
36,FPRL,3,0.3,1.0,-5.110622246579554,300,0.0,0.07925646772042352
37,PPO,3,0.3,1.0,-39.870591413613724,3,0.9643917182552162,0.5200685463481347
37,EGP,3,0.3,1.0,-39.870591413613724,3,0.9643917182552162,0.5200685463481347
37,FPRL,3,0.3,1.0,-5.1023451805874025,300,0.0,0.09990150473259997
38,PPO,3,0.3,1.0,-39.84548814495088,3,0.9208800731612348,0.5440802724156842
38,EGP,3,0.3,1.0,-39.84548814495088,3,0.9208800731612348,0.5440802724156842
38,FPRL,3,0.3,1.0,-5.090909957646658,300,0.0041549897647180645,0.09785288669900007
39,PPO,3,0.3,1.0,-39.97892421996883,1,0.9602817308881725,0.5670763539974788
39,EGP,3,0.3,1.0,-39.97892421996883,1,0.9602817308881725,0.5670763539974788
39,FPRL,3,0.3,1.0,-5.083252893579198,300,0.0,0.06462919288568401
40,PPO,3,0.3,1.0,-39.95823129545293,1,0.9772499873017255,0.6067958428068148
40,EGP,3,0.3,1.0,-39.95823129545293,1,0.9772499873017255,0.6067958428068148
40,FPRL,3,0.3,1.0,-5.091805050198512,300,0.0,0.07568964646527779
41,PPO,3,0.3,1.0,-39.92641241253077,3,0.9803406533209651,0.521762193220896
41,EGP,3,0.3,1.0,-39.92641241253077,3,0.9803406533209651,0.521762193220896
41,FPRL,3,0.3,1.0,-5.112637149000307,300,0.0,0.07565539915369071
42,PPO,3,0.3,1.0,-39.85047903998353,8,0.9746574230203737,0.5074045492611894
42,EGP,3,0.3,1.0,-39.85047903998353,8,0.9746574230203737,0.5074045492611894
42,FPRL,3,0.3,1.0,-5.092972609517975,300,0.0,0.07042788136054609
43,PPO,3,0.3,1.0,-39.839583223533786,1,0.9805069771120579,0.5538336102893545
43,EGP,3,0.3,1.0,-39.839583223533786,1,0.9805069771120579,0.5538336102893545
43,FPRL,3,0.3,1.0,-5.0917668651084815,300,0.0,0.07263479941117375
44,PPO,3,0.3,1.0,-39.957238738790984,1,0.9807354421675702,0.5143258866598015
44,EGP,3,0.3,1.0,-39.957238738790984,1,0.9807354421675702,0.5143258866598015
44,FPRL,3,0.3,1.0,-5.084217553408797,300,0.0,0.07178662743617889
45,PPO,3,0.3,1.0,-39.7654885058731,1,0.9641965166198995,0.4538190447624631
45,EGP,3,0.3,1.0,-39.7654885058731,1,0.9641965166198995,0.4538190447624631
45,FPRL,3,0.3,1.0,-5.0879644924395695,300,0.0,0.06888314714704002
46,PPO,3,0.3,1.0,-39.78415871373435,2,0.9385765273913217,0.5528656281092941
46,EGP,3,0.3,1.0,-39.78415871373435,2,0.9385765273913217,0.5528656281092941
46,FPRL,3,0.3,1.0,-5.082721373015295,300,0.0,0.07422678806923644
47,PPO,3,0.3,1.0,-39.900311212108264,3,0.9814645700768245,0.5380930825403986
47,EGP,3,0.3,1.0,-39.900311212108264,3,0.9814645700768245,0.5380930825403986
47,FPRL,3,0.3,1.0,-5.1232223342394665,300,0.0,0.09967437932541373
48,PPO,3,0.3,1.0,-39.98932279772956,7,0.9681542342176813,0.5074939104233196
48,EGP,3,0.3,1.0,-39.98932279772956,7,0.9681542342176813,0.5074939104233196
48,FPRL,3,0.3,1.0,-5.119020340689566,300,0.0451112580989136,0.09720776402922117
49,PPO,3,0.3,1.0,-39.91911093486572,1,0.9492598446519154,0.5618902442702599
49,EGP,3,0.3,1.0,-39.91911093486572,1,0.9492598446519154,0.5618902442702599
49,FPRL,3,0.3,1.0,-5.09792816084793,300,0.035187137126922605,0.0909492413730408
50,PPO,3,0.3,1.0,-39.786384145189515,1,0.9663392394206929,0.5375784689305539
50,EGP,3,0.3,1.0,-39.786384145189515,1,0.9663392394206929,0.5375784689305539
50,FPRL,3,0.3,1.0,-5.1018616252042825,300,0.018312489897012715,0.09868739209863714
1,PPO,3,0.3,2.0,-80.3574683887657,3,0.9646059172252697,1.095305515882709
1,EGP,3,0.3,2.0,-80.3574683887657,3,0.9646059172252697,1.095305515882709
1,FPRL,3,0.3,2.0,-5.496720070203336,300,0.0,0.26855521809094146
2,PPO,3,0.3,2.0,-80.59795505417019,2,0.9784933898308177,1.0470997546344465
2,EGP,3,0.3,2.0,-80.59795505417019,2,0.9784933898308177,1.0470997546344465
2,FPRL,3,0.3,2.0,-5.424058157402764,300,0.0,0.1512668837713705
3,PPO,3,0.3,2.0,-80.64034922324343,1,0.9545811915282918,1.0380050236022813
3,EGP,3,0.3,2.0,-80.64034922324343,1,0.9545811915282918,1.0380050236022813
3,FPRL,3,0.3,2.0,-5.5186888869664745,300,0.0,0.23220935461348954
