alpha,seed,algo,avg_reward,stability_error
0.5,26,EGP,-187.09460278520996,0.47601719153062
0.5,26,FPRL,-201.07063913410755,0.4640773237090567
0.5,26,PPO,-366.53445173821603,0.24590951071603778
0.5,27,EGP,-98.64425307500348,0.5720907386814978
0.5,27,FPRL,-201.94555212921819,0.4699199506740773
0.5,27,PPO,-101.77964015789763,0.5863729611891394
0.5,28,EGP,-224.7297576347327,0.45872007680630383
0.5,28,FPRL,-211.95224335198134,0.4492708851961285
0.5,28,PPO,-129.0142202440322,0.5218199543168826
0.5,29,EGP,-129.66415338322457,0.5393051115957367
0.5,29,FPRL,-205.8701151038763,0.46056216185855725
0.5,29,PPO,-143.1796972578985,0.5565118068327766
0.5,30,EGP,-155.34809711178565,0.5052213495015685
0.5,30,FPRL,-207.13570935915496,0.4693302970166397
0.5,30,PPO,-66.08718601526924,0.5885696778829904
0.5,31,EGP,-243.8088220081472,0.4058491668333223
0.5,31,FPRL,-204.1762297262411,0.4629752517179207
0.5,31,PPO,-119.11763821799532,0.5613828707716495
0.5,32,EGP,-187.2408530496352,0.4679257420007434
0.5,32,FPRL,-198.8546195535262,0.453504139361751
0.5,32,PPO,-82.91483003178982,0.5566347805592525
0.5,33,EGP,-145.10473123261295,0.4869652708410076
0.5,33,FPRL,-208.76272653305446,0.4371740924188534
0.5,33,PPO,-443.0788030104911,0.09178498417042379
0.5,34,EGP,-189.47452332477536,0.47255979832832157
0.5,34,FPRL,-204.07700301059495,0.46209696332247924
0.5,34,PPO,-115.96452441465313,0.5656240382872869
0.5,35,EGP,-133.0684638463968,0.49303470824628043
0.5,35,FPRL,-210.13681330750578,0.4500158123528928
0.5,35,PPO,-89.98095271166619,0.5493141252802398
0.5,36,EGP,-124.73148367351162,0.5272934828079314
0.5,36,FPRL,-202.05511894794014,0.4496683887348359
0.5,36,PPO,-65.748157206091,0.5652029628034559
0.5,37,EGP,-170.53726269688394,0.48233214158864657
0.5,37,FPRL,-203.1378233281892,0.4529992278031699
0.5,37,PPO,-250.08485852598935,0.4065638425664374
0.5,38,EGP,-240.34808323238437,0.4103152387451203
0.5,38,FPRL,-197.51688808993583,0.4596864746597008
0.5,38,PPO,-135.47089945433262,0.5196634404108718
0.5,39,EGP,-228.43727115203444,0.4208667682052411
0.5,39,FPRL,-224.3593389071706,0.4332199068602021
0.5,39,PPO,-419.7230383255672,0.13271243014120376
0.5,40,EGP,-146.48514912670143,0.5090781191265852
0.5,40,FPRL,-202.79198421000575,0.4537885603321385
0.5,40,PPO,-166.61444392857823,0.4998483687741378
0.5,41,EGP,-206.50741633181636,0.45166445045327885
0.5,41,FPRL,-201.13157885026328,0.459683620520238
0.5,41,PPO,-187.91965407167547,0.4949708769013294
0.5,42,EGP,-225.2568823054157,0.41785780692719016
0.5,42,FPRL,-207.09192317160105,0.4580296530551845
0.5,42,PPO,-175.92027185464266,0.45240580029577876
0.5,43,EGP,-143.3951510172346,0.5204960608343292
0.5,43,FPRL,-206.0004396743258,0.4613746755973123
0.5,43,PPO,-143.4337170298487,0.5185759861059865
0.5,44,EGP,-222.1481625637727,0.45022021879552176
0.5,44,FPRL,-190.3975457817171,0.45596328414390597
0.5,44,PPO,-87.61135465427583,0.5328368997513341
0.5,45,EGP,-164.76304651854394,0.48220276315803823
0.5,45,FPRL,-203.0522163492907,0.4543966242052113
0.5,45,PPO,-176.23726674202837,0.46885070689800473
